2 -0.63 0.32 | time_of_day=16-17 future_duedate=medium workload=medium
3 -0.30 0.78 | time_of_day=19-20 future_duedate=high workload=high
1 -0.32 0.71 | time_of_day=17-18 future_duedate=medium workload=medium
3 -0.28 0.36 | time_of_day=17-18 future_duedate=medium workload=medium
1 -0.72 0.68 | time_of_day=19-20 future_duedate=high workload=high
1 -0.16 0.38 | time_of_day=17-18 future_duedate=high workload=low
1 -0.84 0.34 | time_of_day=13-14 future_duedate=medium workload=medium
4 -0.60 0.52 | time_of_day=23-24 future_duedate=low workload=high
4 -0.17 0.74 | time_of_day=13-14 future_duedate=medium workload=high
1 -0.66 0.63 | time_of_day=16-17 future_duedate=low workload=high
1 -0.11 0.38 | time_of_day=15-16 future_duedate=low workload=medium
6 -0.18 0.73 | time_of_day=12-13 future_duedate=high workload=medium
3 -0.71 0.45 | time_of_day=17-18 future_duedate=medium workload=medium
1 -0.02 0.68 | time_of_day=17-18 future_duedate=medium workload=high
1 -0.38 0.65 | time_of_day=17-18 future_duedate=low workload=high
6 -1.00 0.61 | time_of_day=12-13 future_duedate=medium workload=medium
6 -0.40 0.26 | time_of_day=15-16 future_duedate=medium workload=medium
5 -0.70 0.78 | time_of_day=23-24 future_duedate=high workload=medium
3 -0.31 0.65 | time_of_day=15-16 future_duedate=low workload=low
5 -0.57 0.31 | time_of_day=19-20 future_duedate=high workload=low
2 -0.50 0.58 | time_of_day=22-23 future_duedate=high workload=medium
6 -0.17 0.51 | time_of_day=13-14 future_duedate=low workload=high
4 -0.19 0.40 | time_of_day=21-22 future_duedate=high workload=high
4 -0.46 0.68 | time_of_day=19-20 future_duedate=low workload=low
2 -0.53 0.25 | time_of_day=17-18 future_duedate=high workload=high
4 -0.65 0.69 | time_of_day=16-17 future_duedate=high workload=high
6 -0.70 0.28 | time_of_day=14-15 future_duedate=medium workload=medium
6 -0.43 0.31 | time_of_day=23-24 future_duedate=high workload=low
6 -0.73 0.51 | time_of_day=16-17 future_duedate=high workload=high
2 -0.79 0.67 | time_of_day=17-18 future_duedate=medium workload=high
4 -0.20 0.36 | time_of_day=17-18 future_duedate=low workload=low
2 -0.98 0.43 | time_of_day=21-22 future_duedate=low workload=medium
2 -0.27 0.39 | time_of_day=15-16 future_duedate=low workload=medium
1 -0.45 0.44 | time_of_day=14-15 future_duedate=low workload=low
3 -0.34 0.27 | time_of_day=19-20 future_duedate=medium workload=high
5 -0.11 0.46 | time_of_day=12-13 future_duedate=low workload=low
3 -0.60 0.77 | time_of_day=19-20 future_duedate=low workload=medium
1 -0.09 0.49 | time_of_day=17-18 future_duedate=low workload=high
4 -0.43 0.28 | time_of_day=22-23 future_duedate=high workload=medium
2 -0.80 0.77 | time_of_day=17-18 future_duedate=low workload=low
6 -0.26 0.30 | time_of_day=12-13 future_duedate=low workload=high
5 -0.23 0.66 | time_of_day=16-17 future_duedate=medium workload=low
1 -0.78 0.39 | time_of_day=17-18 future_duedate=medium workload=medium
2 -0.76 0.43 | time_of_day=21-22 future_duedate=low workload=low
2 -0.65 0.63 | time_of_day=13-14 future_duedate=medium workload=medium
6 -0.90 0.70 | time_of_day=14-15 future_duedate=low workload=high
5 -0.85 0.68 | time_of_day=19-20 future_duedate=high workload=low
2 -0.98 0.44 | time_of_day=12-13 future_duedate=medium workload=low
1 -0.06 0.70 | time_of_day=18-19 future_duedate=medium workload=high
2 -0.74 0.28 | time_of_day=15-16 future_duedate=medium workload=low
5 -0.87 0.73 | time_of_day=19-20 future_duedate=low workload=medium
1 -0.36 0.59 | time_of_day=23-24 future_duedate=medium workload=medium
6 -0.27 0.26 | time_of_day=19-20 future_duedate=low workload=low
6 -0.63 0.52 | time_of_day=12-13 future_duedate=high workload=low
4 -0.21 0.63 | time_of_day=15-16 future_duedate=medium workload=high
6 -0.37 0.35 | time_of_day=22-23 future_duedate=low workload=low
5 -0.51 0.31 | time_of_day=20-21 future_duedate=high workload=low
3 -0.13 0.65 | time_of_day=23-24 future_duedate=high workload=low
3 -0.13 0.51 | time_of_day=21-22 future_duedate=high workload=low
6 -0.67 0.50 | time_of_day=18-19 future_duedate=medium workload=low
1 -0.41 0.73 | time_of_day=19-20 future_duedate=medium workload=high
4 -0.09 0.36 | time_of_day=22-23 future_duedate=medium workload=high
2 -0.63 0.66 | time_of_day=12-13 future_duedate=low workload=low
1 -0.27 0.76 | time_of_day=19-20 future_duedate=medium workload=low
6 -0.17 0.30 | time_of_day=20-21 future_duedate=low workload=high
1 -0.89 0.28 | time_of_day=23-24 future_duedate=medium workload=medium
1 -0.01 0.51 | time_of_day=22-23 future_duedate=medium workload=high
6 -0.39 0.40 | time_of_day=23-24 future_duedate=low workload=low
4 -0.13 0.58 | time_of_day=15-16 future_duedate=low workload=low
6 -0.96 0.26 | time_of_day=14-15 future_duedate=high workload=high
3 -0.46 0.36 | time_of_day=23-24 future_duedate=medium workload=medium
5 -0.73 0.34 | time_of_day=22-23 future_duedate=high workload=low
2 -0.83 0.43 | time_of_day=18-19 future_duedate=high workload=medium
1 -0.36 0.30 | time_of_day=16-17 future_duedate=low workload=high
4 -1.00 0.58 | time_of_day=13-14 future_duedate=high workload=high
6 -0.35 0.63 | time_of_day=17-18 future_duedate=medium workload=high
4 -0.28 0.62 | time_of_day=16-17 future_duedate=high workload=high
6 -0.00 0.62 | time_of_day=17-18 future_duedate=high workload=high
3 -0.16 0.54 | time_of_day=23-24 future_duedate=medium workload=medium
